FID,id,The_geom,nome,tipo,data_inaug,status,endereco,bairro,cod_bairro,regional,territorio,orgao,inaugurado,fonte,epsg_codf,x,y,ano_ref
vw_Areninhas.fid--780b70dd_194f2cc3853_-2385,1,POINT (-38.50268413333931 -3.73062159062615),Areninha Campo do América,Areninha,2014-06-05,Concluído,Rua José Vilar S/N,Meireles,24,SER 2,7,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,555223.016,9587632.783,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2384,2,POINT (-38.59257880361201 -3.7244928693872827),Areninha Thauzer Parente,Areninha,2015-11-12,Concluído,"Rua Pedro Sampaio, 416",Jardim Guanabara,20,SER 1,2,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,545241.046,9588315.365,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2383,3,POINT (-38.60080809097353 -3.752099191714821),Areninha Genibaú (Campo do Servilha),Areninha,2015-12-23,Concluído,Rua José Mendonça S/N,Genibaú,41,SER 11,37,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,544325.845,9585264.25,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2382,4,POINT (-38.58164216112505 -3.7530181774428613),Areninha Campo do Pici (CSU César Cals),Areninha,2016-02-05,Concluído,Rua Miramar da Luz,Pici,106,SER 11,36,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,546453.998,9585161.674,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2381,5,POINT (-38.54550916320447 -3.714353496620981),Areninha Pirambu,Areninha,2016-03-12,Concluído,Av. Presidente Castelo Branco,Jacarecanga,18,SER 1,5,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,550468.455,9589433.599,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2380,6,POINT (-38.53690953184929 -3.770539859383965),Areninha Vila União,Areninha,2016-04-15,Concluído,Travessa Moreira Gomes,Vila União,109,SER 4,18,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,551420.136,9583222.354,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-237f,7,POINT (-38.58646715045757 -3.8327789899444813),Areninha Aracapé,Areninha,2016-04-29,Concluído,Rua Miguel de Aragão,Aracapé,124,SER 10,34,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,545914.017,9576345.346,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-237e,8,POINT (-38.520376714648755 -3.8491047044934277),Areninha Sítio São João,Areninha,2016-06-04,Concluído,Rua Catolé com Rua 44,Jangurussu,61,SER 9,32,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,553251.1,9574536.896,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-237d,9,POINT (-38.57915208723699 -3.698894640934734),Areninha Barra do Ceará (Campo do Grêmio),Areninha,2016-06-18,Concluído,Rua dos Abolicionistas S/N,Barra do Ceará,6,SER 1,3,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,546733.354,9591144.233,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-237c,10,POINT (-38.606004862169144 -3.767470447985291),Areninha Conjunto Ceará I,Areninha,2016-06-25,Concluído,Av. B Polo de Lazer,Conjunto Ceará I,42,SER 11,38,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,543746.284,9583393.599,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-237b,11,POINT (-38.556958128397085 -3.7478099420119317),Areninha Rodolfo Teófilo (Campo do Novo Ideal),Areninha,2016-07-01,Concluído,"Rua Frei Marcelino, 1540",Rodolfo Teófilo,34,SER 3,14,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,549195.23,9585736.034,2021
