FID,id,The_geom,fid,Nome,Endereço,Bairro,Regional,Funcionamento,Fonte,ano_ref,epsg_codif
vw_RedeJuv.fid--780b70dd_194f2cc3853_-1e40,1,POINT (-38.60090955763832 -3.777845581491269),1,Farol da Juventude - Granja Portugal,"Rua Emílio Menezes, 2238",Granja Portugal,SER 5,"Terça a sábado, das 16h às 22h","Dados da SEJUV, georreferenciado por IPLANFOR.",2024,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_RedeJuv.fid--780b70dd_194f2cc3853_-1e3f,2,POINT (-38.47206960162605 -3.774184521590983),2,Farol da Juventude - Dendê,"Rua Tenente Coronel Elsio Lima Verde, praça da juventude",Itaperi,SER 8,"Terça a sábado, das 16h às 22h","Dados da SEJUV, georreferenciado por IPLANFOR.",2024,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_RedeJuv.fid--780b70dd_194f2cc3853_-1e3e,3,POINT (-38.53732426398832 -3.743968788483437),3,Farol da Juventude  - Benfica,Praça da Gentilândia,Benfica,SER 4,"Terça a sábado, das 16h às 22h","Dados da SEJUV, georreferenciado por IPLANFOR.",2024,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_RedeJuv.fid--780b70dd_194f2cc3853_-1e3d,4,POINT (-38.53861945549106 -3.795435207447477),4,Farol da Juventude  - Serrinha,"Rua VI, 83",Serrinha,SER 8,"Terça a sábado, das 16h às 22h","Dados da SEJUV, georreferenciado por IPLANFOR.",2024,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_RedeJuv.fid--780b70dd_194f2cc3853_-1e3c,5,POINT (-38.46651622218636 -3.82944024039741),5,Farol da Juventude  - Curió,"Rua Isabel Ferreira, 789",Curió,SER 6,"Terça a sábado, das 16h às 22h","Dados da SEJUV, georreferenciado por IPLANFOR.",2024,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_RedeJuv.fid--780b70dd_194f2cc3853_-1e3b,6,POINT (-38.60572696266107 -3.809406756924222),6,Centro Cultural Canindezinho,"Rua General Osório de Paiva, 6061",Canindezinho,SER 10,"Terça a sexta, das 8h às 21h, sábado, das 8h às 20h","Dados da SEJUV, georreferenciado por IPLANFOR.",2024,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_RedeJuv.fid--780b70dd_194f2cc3853_-1e3a,7,POINT (-38.55813642869977 -3.723368911605289),7,Centro de Juventude Igor Andrade de Lima,"Rua Raquel Holanda, 575",Monte Castelo,SER 3,"Terça a sábado, das 14h às 22h","Dados da SEJUV, georreferenciado por IPLANFOR.",2024,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_RedeJuv.fid--780b70dd_194f2cc3853_-1e39,8,POINT (-38.55921090808143 -3.754586703253159),8,Polo da Bela Vista,"Rua Vila Sombra, 02",Bela Vista,SER 10,"Terça a sábado, das 14h às 22h","Dados da SEJUV, georreferenciado por IPLANFOR.",2024,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_RedeJuv.fid--780b70dd_194f2cc3853_-1e38,9,POINT (-38.52004644204965 -3.867403512551976),9,Pracinha da Cultura Pedras,"Av. Dionísio Leonel Alencar, 4095",Pedras,SER 9,"Terça a sexta, das 8h às 21h, e sábado, das 8h às 17h","Dados da SEJUV, georreferenciado por IPLANFOR.",2024,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
vw_RedeJuv.fid--780b70dd_194f2cc3853_-1e37,10,POINT (-38.47241349571082 -3.728432113831548),10,Pracinha da Cultura Vicente Pinzon,"Rua Veneza, 100",Vicente Pinzon,SER 2,"Terça a sexta, das 8h às 21h, e sábado, das 8h às 17h","Dados da SEJUV, georreferenciado por IPLANFOR.",2024,EPSG: 31984 (SIRGAS 2000 - UTM 24S); Codificação: UTF-8
